1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.967454	1.000000	0.002124	8.1
1	-0.969428	1.000000	0.001834	4.3
2	-0.971110	1.000000	0.001560	3.3
3	-0.972526	1.000000	0.001294	3.7
4	-0.973665	1.000000	0.001066	2.8
5	-0.974632	1.000000	0.000910	2.9
6	-0.975453	1.000000	0.000816	3.2
7	-0.976199	1.000000	0.000733	3.0
8	-0.976855	1.000000	0.000684	3.0
9	-0.977453	1.000000	0.000629	3.1
10	-0.978020	1.000000	0.000620	2.9
11	-0.978541	1.000000	0.000570	2.9
12	-0.979023	1.000000	0.000537	3.4
13	-0.979435	1.000000	0.000500	2.9
14	-0.979834	1.000000	0.000473	3.4
15	-0.980184	1.000000	0.000466	3.1
16	-0.980546	1.000000	0.000451	3.1
17	-0.980841	1.000000	0.000445	3.5
18	-0.981147	1.000000	0.000466	2.8
19	-0.981371	1.000000	0.000430	3.0
20	-0.981643	1.000000	0.000452	3.0
21	-0.981851	1.000000	0.000416	3.0
22	-0.982146	1.000000	0.000387	3.1
23	-0.982405	1.000000	0.000388	3.3
24	-0.982674	1.000000	0.000394	2.9
25	-0.982875	1.000000	0.000429	3.1
26	-0.983072	1.000000	0.000406	3.0
27	-0.983251	0.500000	0.000416	2.9
28	-0.983409	0.500000	0.000338	3.7
29	-0.983494	0.500000	0.000362	2.9
30	-0.983586	0.500000	0.000337	3.4
31	-0.983673	0.500000	0.000353	2.9
32	-0.983747	0.250000	0.000347	3.0
33	-0.983821	0.250000	0.000312	3.4
34	-0.983859	0.250000	0.000333	2.9
35	-0.983912	0.250000	0.000314	3.0
36	-0.983949	0.250000	0.000320	3.2
37	-0.984001	0.250000	0.000318	2.9
38	-0.984039	0.250000	0.000317	3.3
39	-0.984083	0.250000	0.000301	3.0
40	-0.984125	0.250000	0.000310	3.0
41	-0.984168	0.250000	0.000309	3.1
42	-0.984211	0.250000	0.000325	2.9
43	-0.984252	0.250000	0.000310	3.2
44	-0.984297	0.250000	0.000337	3.5
45	-0.984333	0.250000	0.000307	2.9
46	-0.984374	0.250000	0.000322	3.2
47	-0.984414	0.250000	0.000311	2.8
48	-0.984457	0.250000	0.000334	3.0
49	-0.984489	0.250000	0.000299	3.2
50	-0.984536	0.250000	0.000324	3.0
51	-0.984563	0.250000	0.000305	3.1
52	-0.984613	0.250000	0.000306	3.0
53	-0.984635	0.250000	0.000307	2.8
54	-0.984684	0.250000	0.000326	3.1
55	-0.984701	0.125000	0.000297	3.4
56	-0.984733	0.125000	0.000277	3.4
57	-0.984755	0.125000	0.000304	5.1
58	-0.984767	0.062500	0.000285	7.4
59	-0.984782	0.062500	0.000274	4.4
60	-0.984793	0.062500	0.000272	3.8
61	-0.984801	0.062500	0.000271	3.2
62	-0.984811	0.062500	0.000300	3.1
63	-0.984817	0.062500	0.000268	3.6
64	-0.984828	0.062500	0.000271	3.0
65	-0.984835	0.062500	0.000314	3.0
66	-0.984844	0.031250	0.000274	2.8
67	-0.984850	0.031250	0.000261	3.3
68	-0.984854	0.031250	0.000279	3.2
69	-0.984859	0.031250	0.000268	3.0
70	-0.984863	0.031250	0.000276	3.2
71	-0.984868	0.031250	0.000291	2.8
72	-0.984871	0.031250	0.000278	2.9
73	-0.984876	0.031250	0.000283	3.3
74	-0.984879	0.031250	0.000280	3.0
75	-0.984884	0.031250	0.000274	3.2
76	-0.984888	0.031250	0.000278	2.8
77	-0.984892	0.031250	0.000284	2.8
78	-0.984896	0.015625	0.000297	3.3
79	-0.984899	0.015625	0.000262	3.0
80	-0.984901	0.015625	0.000281	2.9
81	-0.984903	0.015625	0.000263	3.1
82	-0.984905	0.015625	0.000289	2.8
